,sex,age,age_cat,decile_score,score_text,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,is_recid,score
2068,Male,42,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
2069,Male,22,Less than 25,6,Medium,African-American,1,0,0,0,1,1
2070,Male,36,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
2071,Male,29,25 - 45,7,Medium,Caucasian,7,0,0,1,1,1
2072,Male,39,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
2073,Male,27,25 - 45,6,Medium,African-American,13,0,2,1,1,1
2074,Male,38,25 - 45,5,Medium,Caucasian,2,0,0,0,1,1
2075,Male,20,Less than 25,2,Low,Caucasian,0,0,0,0,1,0
2076,Male,25,25 - 45,10,High,African-American,4,2,0,0,1,1
2077,Male,53,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2078,Female,27,25 - 45,8,High,African-American,0,0,0,0,1,1
2079,Male,21,Less than 25,5,Medium,Other,0,0,0,0,1,1
2080,Male,50,Greater than 45,1,Low,Caucasian,1,0,0,0,1,0
2081,Male,41,25 - 45,5,Medium,African-American,4,0,0,0,0,1
2083,Male,22,Less than 25,8,High,Caucasian,5,0,0,2,1,1
2084,Male,22,Less than 25,7,Medium,Caucasian,0,0,0,2,1,1
2085,Male,25,25 - 45,5,Medium,African-American,2,0,0,0,0,1
2086,Male,42,25 - 45,4,Low,African-American,1,0,0,0,1,0
2088,Male,51,Greater than 45,1,Low,Other,2,0,0,0,0,0
2090,Male,24,Less than 25,3,Low,African-American,0,0,0,1,0,0
2091,Male,37,25 - 45,4,Low,African-American,4,0,0,0,0,0
2092,Male,37,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2093,Female,27,25 - 45,2,Low,Other,0,0,0,0,0,0
2094,Male,21,Less than 25,6,Medium,Other,0,0,0,0,0,1
2095,Male,35,25 - 45,1,Low,African-American,1,0,0,0,1,0
2096,Female,24,Less than 25,8,High,Caucasian,0,0,0,0,0,1
2098,Male,49,Greater than 45,1,Low,Caucasian,2,0,0,0,0,0
2099,Male,38,25 - 45,6,Medium,African-American,9,0,0,0,0,1
2100,Male,61,Greater than 45,1,Low,Other,0,0,0,0,0,0
2101,Female,30,25 - 45,2,Low,African-American,0,0,0,0,0,0
2102,Male,22,Less than 25,6,Medium,African-American,3,0,0,0,0,1
2103,Male,25,25 - 45,7,Medium,African-American,0,0,0,0,1,1
2104,Female,30,25 - 45,3,Low,Hispanic,3,0,0,0,1,0
2105,Male,52,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2106,Male,26,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
2107,Male,26,25 - 45,4,Low,Other,0,0,0,0,0,0
2109,Male,45,Greater than 45,9,High,Caucasian,9,0,0,0,1,1
2110,Male,20,Less than 25,9,High,African-American,0,0,0,0,1,1
2111,Male,29,25 - 45,8,High,African-American,4,0,0,0,0,1
2112,Male,43,25 - 45,6,Medium,Caucasian,1,0,0,0,1,1
2113,Male,26,25 - 45,5,Medium,Caucasian,2,0,0,0,0,1
2114,Female,46,Greater than 45,4,Low,African-American,4,0,0,0,0,0
2115,Female,46,Greater than 45,1,Low,African-American,0,0,0,0,0,0
2117,Male,29,25 - 45,10,High,African-American,12,0,0,0,1,1
2118,Male,41,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2120,Female,25,25 - 45,7,Medium,African-American,5,0,0,0,0,1
2121,Male,23,Less than 25,7,Medium,African-American,2,1,0,0,0,1
2123,Male,30,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
2124,Male,34,25 - 45,6,Medium,Caucasian,1,0,0,0,0,1
2125,Male,70,Greater than 45,1,Low,Caucasian,11,0,0,0,1,0
2126,Male,52,Greater than 45,1,Low,Caucasian,2,0,0,0,0,0
2127,Male,51,Greater than 45,2,Low,African-American,4,0,0,0,0,0
2128,Female,45,Greater than 45,10,High,Native American,15,0,0,0,1,1
2129,Male,55,Greater than 45,6,Medium,African-American,21,0,0,0,1,1
2130,Female,49,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
2132,Female,47,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2133,Male,27,25 - 45,2,Low,African-American,0,0,0,0,0,0
2134,Male,25,25 - 45,7,Medium,Caucasian,5,0,2,0,1,1
2135,Male,21,Less than 25,10,High,African-American,1,0,1,0,1,1
2136,Male,37,25 - 45,10,High,African-American,26,0,0,1,1,1
2137,Male,21,Less than 25,9,High,African-American,1,0,0,0,1,1
2138,Male,21,Less than 25,6,Medium,African-American,0,0,0,0,0,1
2139,Male,25,25 - 45,10,High,African-American,4,0,0,0,1,1
2140,Female,27,25 - 45,5,Medium,African-American,3,0,0,0,1,1
2141,Male,30,25 - 45,4,Low,Caucasian,3,0,0,0,1,0
2142,Male,70,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2143,Male,37,25 - 45,9,High,Caucasian,11,0,0,0,1,1
2144,Male,46,Greater than 45,5,Medium,African-American,5,0,0,0,1,1
2145,Male,40,25 - 45,1,Low,Other,4,0,0,0,1,0
2147,Male,43,25 - 45,4,Low,African-American,18,0,0,0,1,0
2148,Male,38,25 - 45,6,Medium,African-American,15,0,0,0,0,1
2149,Male,29,25 - 45,4,Low,African-American,0,0,0,0,0,0
2150,Male,37,25 - 45,2,Low,African-American,8,0,0,0,1,0
2151,Male,38,25 - 45,4,Low,Hispanic,3,0,0,0,0,0
2152,Female,27,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
2153,Female,20,Less than 25,5,Medium,Other,0,0,0,0,1,1
2154,Male,44,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
2155,Male,31,25 - 45,5,Medium,Caucasian,6,0,0,0,0,1
2156,Male,29,25 - 45,2,Low,African-American,3,0,0,0,1,0
2158,Female,30,25 - 45,2,Low,African-American,0,0,0,0,0,0
2159,Female,25,25 - 45,5,Medium,Caucasian,2,0,0,0,1,1
2160,Male,40,25 - 45,2,Low,African-American,3,0,0,0,0,0
2162,Male,33,25 - 45,3,Low,Caucasian,1,0,0,0,0,0
2163,Male,26,25 - 45,5,Medium,Caucasian,5,0,0,0,1,1
2164,Male,31,25 - 45,3,Low,Hispanic,1,0,1,0,0,0
2165,Male,61,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
2166,Male,30,25 - 45,4,Low,Caucasian,2,0,0,0,0,0
2167,Male,62,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2168,Female,27,25 - 45,8,High,Caucasian,4,0,0,0,1,1
2169,Male,48,Greater than 45,6,Medium,Caucasian,9,0,0,0,0,1
2170,Female,40,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
2171,Male,24,Less than 25,4,Low,Caucasian,0,0,0,0,0,0
2172,Male,22,Less than 25,4,Low,African-American,0,0,0,0,1,0
2173,Male,30,25 - 45,8,High,African-American,4,0,0,0,1,1
2174,Male,63,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2176,Male,33,25 - 45,10,High,African-American,4,0,0,0,0,1
2178,Male,43,25 - 45,4,Low,Caucasian,0,0,0,0,1,0
2179,Male,26,25 - 45,10,High,African-American,3,0,0,0,1,1
2180,Male,51,Greater than 45,1,Low,African-American,1,0,0,0,0,0
2181,Male,39,25 - 45,1,Low,Caucasian,3,0,0,0,1,0
2182,Female,30,25 - 45,3,Low,Hispanic,0,0,0,0,1,0
2183,Male,32,25 - 45,8,High,African-American,14,0,0,0,1,1
2184,Male,22,Less than 25,6,Medium,African-American,0,0,0,0,0,1
2185,Male,59,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2186,Male,38,25 - 45,7,Medium,African-American,37,0,5,0,1,1
2187,Male,23,Less than 25,6,Medium,African-American,2,0,0,0,0,1
2188,Male,42,25 - 45,1,Low,African-American,0,0,0,0,1,0
2190,Male,38,25 - 45,7,Medium,African-American,2,0,0,0,1,1
2191,Female,34,25 - 45,3,Low,Caucasian,2,0,0,0,0,0
2192,Female,36,25 - 45,3,Low,African-American,7,0,0,0,1,0
2194,Male,36,25 - 45,3,Low,African-American,0,0,0,0,1,0
2195,Male,31,25 - 45,1,Low,African-American,1,0,0,0,0,0
2196,Female,28,25 - 45,4,Low,African-American,3,0,0,0,1,0
2197,Male,28,25 - 45,2,Low,African-American,1,0,0,0,1,0
2199,Male,43,25 - 45,4,Low,African-American,0,0,0,0,0,0
2200,Male,40,25 - 45,1,Low,African-American,1,0,0,0,0,0
2201,Male,31,25 - 45,9,High,African-American,15,0,2,0,1,1
2202,Male,54,Greater than 45,7,Medium,African-American,6,0,0,0,1,1
2204,Male,24,Less than 25,9,High,African-American,17,0,0,0,1,1
2205,Male,41,25 - 45,1,Low,Hispanic,0,0,0,0,1,0
2206,Male,21,Less than 25,9,High,African-American,1,0,0,1,1,1
2207,Female,29,25 - 45,2,Low,Hispanic,1,0,0,0,1,0
2208,Male,22,Less than 25,3,Low,African-American,0,0,0,1,0,0
2209,Male,52,Greater than 45,7,Medium,Hispanic,9,0,0,0,1,1
2210,Female,40,25 - 45,1,Low,Other,0,0,0,0,0,0
2213,Female,45,Greater than 45,4,Low,African-American,1,0,0,0,0,0
2214,Male,29,25 - 45,2,Low,African-American,1,0,0,0,1,0
2215,Male,46,Greater than 45,5,Medium,African-American,10,0,0,0,1,1
2216,Male,21,Less than 25,8,High,Caucasian,1,0,1,2,0,1
2218,Male,35,25 - 45,5,Medium,Caucasian,6,0,0,0,1,1
2219,Male,52,Greater than 45,1,Low,African-American,1,0,0,0,1,0
2220,Male,48,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2221,Female,29,25 - 45,8,High,African-American,9,0,0,3,1,1
2222,Male,48,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2223,Male,31,25 - 45,6,Medium,African-American,10,0,0,0,1,1
2224,Male,21,Less than 25,8,High,Caucasian,3,0,0,0,1,1
2225,Male,32,25 - 45,1,Low,Other,0,0,0,0,1,0
2226,Male,47,Greater than 45,5,Medium,African-American,0,0,0,0,0,1
2228,Male,21,Less than 25,10,High,African-American,3,1,2,2,1,1
2229,Male,35,25 - 45,10,High,African-American,13,3,0,0,0,1
2230,Male,46,Greater than 45,1,Low,African-American,3,0,0,0,1,0
2231,Male,34,25 - 45,4,Low,African-American,5,0,0,0,1,0
2232,Male,52,Greater than 45,1,Low,African-American,2,0,0,0,0,0
2234,Male,21,Less than 25,8,High,Caucasian,0,0,0,0,1,1
2235,Male,53,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
2236,Female,19,Less than 25,3,Low,Caucasian,0,0,0,0,1,0
2237,Male,22,Less than 25,6,Medium,African-American,0,0,0,0,0,1
2238,Male,45,Greater than 45,3,Low,African-American,1,0,0,0,0,0
2239,Female,27,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
2240,Male,25,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
2241,Male,30,25 - 45,4,Low,Caucasian,0,0,0,0,1,0
2242,Male,31,25 - 45,5,Medium,African-American,2,0,0,0,1,1
2243,Male,28,25 - 45,3,Low,Caucasian,3,0,0,0,0,0
2244,Male,36,25 - 45,2,Low,African-American,3,0,0,0,1,0
2245,Male,27,25 - 45,5,Medium,African-American,7,0,0,0,1,1
2246,Male,42,25 - 45,2,Low,African-American,1,0,0,0,0,0
2247,Male,35,25 - 45,5,Medium,Caucasian,0,0,0,0,1,1
2248,Female,33,25 - 45,2,Low,Caucasian,2,0,0,0,0,0
2249,Male,24,Less than 25,10,High,Hispanic,6,1,0,0,1,1
2250,Male,25,25 - 45,10,High,African-American,21,0,1,0,1,1
2251,Female,42,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2252,Male,21,Less than 25,6,Medium,African-American,0,0,0,0,1,1
2253,Female,28,25 - 45,2,Low,African-American,0,0,0,0,0,0
2254,Male,27,25 - 45,10,High,African-American,25,0,0,0,1,1
2255,Female,21,Less than 25,6,Medium,Caucasian,0,0,0,0,0,1
2256,Male,26,25 - 45,6,Medium,Caucasian,0,0,0,0,1,1
2257,Male,36,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2259,Male,49,Greater than 45,7,Medium,Caucasian,0,0,0,0,1,1
2261,Male,44,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
2262,Male,28,25 - 45,3,Low,Caucasian,1,0,0,0,0,0
2264,Female,35,25 - 45,7,Medium,African-American,12,0,0,0,1,1
2267,Male,34,25 - 45,1,Low,African-American,3,0,0,0,0,0
2268,Male,45,Greater than 45,3,Low,African-American,15,0,0,0,1,0
2269,Male,28,25 - 45,3,Low,African-American,9,0,0,0,1,0
2270,Female,25,25 - 45,3,Low,African-American,1,0,0,0,0,0
2271,Male,21,Less than 25,8,High,African-American,1,0,1,0,0,1
2272,Male,48,Greater than 45,1,Low,African-American,1,0,0,0,0,0
2273,Male,37,25 - 45,2,Low,Caucasian,1,0,0,0,0,0
2274,Male,24,Less than 25,6,Medium,African-American,3,0,0,0,1,1
2275,Male,37,25 - 45,1,Low,Caucasian,1,0,0,0,1,0
2276,Male,39,25 - 45,3,Low,Caucasian,1,0,0,0,0,0
2277,Male,24,Less than 25,5,Medium,Caucasian,1,0,0,1,1,1
2278,Male,49,Greater than 45,1,Low,Other,2,0,0,0,0,0
2280,Male,23,Less than 25,2,Low,African-American,1,0,0,0,1,0
2282,Male,43,25 - 45,5,Medium,Caucasian,5,0,0,0,0,1
2283,Male,28,25 - 45,8,High,African-American,6,0,0,0,1,1
2285,Male,53,Greater than 45,2,Low,African-American,1,0,0,0,0,0
2286,Female,27,25 - 45,4,Low,African-American,2,0,0,0,1,0
2287,Male,39,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2288,Male,47,Greater than 45,7,Medium,African-American,22,0,0,0,1,1
2289,Male,28,25 - 45,2,Low,African-American,4,0,0,0,1,0
2291,Male,36,25 - 45,1,Low,Caucasian,2,0,0,0,0,0
2292,Female,24,Less than 25,9,High,African-American,1,0,0,0,0,1
2293,Male,35,25 - 45,2,Low,Hispanic,0,0,0,0,0,0
2294,Male,23,Less than 25,7,Medium,African-American,3,0,0,0,0,1
2295,Male,26,25 - 45,2,Low,African-American,2,0,0,0,0,0
2296,Male,31,25 - 45,4,Low,African-American,7,0,0,0,1,0
2297,Female,30,25 - 45,10,High,African-American,14,0,3,2,1,1
2298,Male,25,25 - 45,6,Medium,Caucasian,2,0,0,0,0,1
2299,Male,24,Less than 25,10,High,African-American,6,0,0,0,1,1
2300,Male,34,25 - 45,1,Low,Hispanic,1,0,0,0,1,0
2301,Male,26,25 - 45,4,Low,African-American,2,0,0,0,0,0
2303,Male,60,Greater than 45,1,Low,Hispanic,0,0,0,0,0,0
2304,Female,20,Less than 25,5,Medium,African-American,0,0,0,0,0,1
2306,Male,23,Less than 25,3,Low,Caucasian,0,0,0,0,0,0
2307,Male,26,25 - 45,7,Medium,African-American,5,0,0,0,1,1
2308,Male,40,25 - 45,1,Low,Caucasian,4,0,0,0,0,0
2309,Male,28,25 - 45,3,Low,Other,1,0,0,0,1,0
2310,Male,49,Greater than 45,1,Low,Hispanic,1,0,0,0,1,0
2312,Male,19,Less than 25,10,High,African-American,1,0,1,0,1,1
2313,Male,53,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
2315,Female,24,Less than 25,3,Low,African-American,0,0,0,0,0,0
2316,Male,31,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
2317,Female,33,25 - 45,3,Low,Caucasian,2,0,0,0,0,0
2318,Male,26,25 - 45,10,High,Caucasian,8,0,3,0,1,1
2320,Male,32,25 - 45,2,Low,Caucasian,2,0,0,0,0,0
2321,Male,25,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
2322,Male,21,Less than 25,2,Low,African-American,1,0,0,0,0,0
2323,Male,38,25 - 45,5,Medium,African-American,3,0,0,0,0,1
2324,Male,23,Less than 25,2,Low,Caucasian,0,0,0,0,0,0
2326,Male,20,Less than 25,6,Medium,Caucasian,0,0,0,1,1,1
2327,Female,39,25 - 45,1,Low,Caucasian,4,0,0,0,1,0
2328,Male,24,Less than 25,2,Low,African-American,1,0,0,0,1,0
2329,Male,23,Less than 25,2,Low,Hispanic,0,0,0,0,0,0
2330,Male,49,Greater than 45,4,Low,African-American,3,0,0,0,0,0
2331,Male,31,25 - 45,7,Medium,African-American,7,0,0,0,1,1
2332,Male,20,Less than 25,6,Medium,African-American,1,0,0,0,1,1
2333,Male,28,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
2334,Male,67,Greater than 45,1,Low,Caucasian,3,0,0,0,0,0
2335,Male,33,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
2338,Male,52,Greater than 45,1,Low,African-American,0,0,0,0,0,0
2339,Male,45,Greater than 45,7,Medium,African-American,17,0,0,0,1,1
2340,Male,27,25 - 45,7,Medium,African-American,8,0,0,1,1,1
2341,Male,22,Less than 25,9,High,Caucasian,1,0,0,0,0,1
2343,Male,40,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
2344,Male,30,25 - 45,8,High,Caucasian,1,0,0,0,1,1
2345,Male,42,25 - 45,1,Low,African-American,1,0,0,0,0,0
2346,Male,24,Less than 25,3,Low,African-American,2,0,0,1,1,0
2347,Male,46,Greater than 45,2,Low,Caucasian,4,0,0,0,0,0
2348,Male,38,25 - 45,3,Low,African-American,4,0,0,0,0,0
2350,Female,32,25 - 45,3,Low,Hispanic,0,0,0,0,1,0
2351,Male,26,25 - 45,5,Medium,Caucasian,0,0,0,0,0,1
2352,Male,54,Greater than 45,1,Low,Caucasian,1,0,0,0,1,0
2353,Male,27,25 - 45,3,Low,Hispanic,2,0,0,0,0,0
2354,Male,61,Greater than 45,4,Low,Caucasian,1,0,0,0,0,0
2355,Male,51,Greater than 45,4,Low,African-American,1,0,0,0,1,0
2356,Male,57,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2357,Male,24,Less than 25,5,Medium,Caucasian,3,0,0,3,1,1
2358,Male,34,25 - 45,1,Low,African-American,1,0,0,0,0,0
2359,Male,27,25 - 45,2,Low,Hispanic,1,0,0,0,0,0
2360,Female,28,25 - 45,7,Medium,African-American,10,0,0,0,1,1
2361,Male,35,25 - 45,8,High,African-American,10,0,0,0,1,1
2362,Male,30,25 - 45,6,Medium,African-American,6,0,0,0,1,1
2364,Male,44,25 - 45,1,Low,African-American,0,0,0,0,0,0
2366,Male,61,Greater than 45,6,Medium,Caucasian,10,0,0,0,0,1
2367,Male,26,25 - 45,9,High,African-American,1,0,0,0,1,1
2368,Male,48,Greater than 45,7,Medium,African-American,10,1,0,0,1,1
2369,Male,42,25 - 45,1,Low,African-American,4,0,0,0,0,0
2370,Male,38,25 - 45,8,High,Caucasian,10,0,0,0,1,1
2372,Female,53,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2373,Male,26,25 - 45,10,High,African-American,3,0,0,0,0,1
2374,Male,22,Less than 25,7,Medium,African-American,1,0,0,0,1,1
2375,Male,50,Greater than 45,7,Medium,Caucasian,0,0,0,0,0,1
2376,Male,44,25 - 45,7,Medium,Caucasian,16,3,0,0,0,1
2377,Male,24,Less than 25,6,Medium,African-American,4,0,1,3,1,1
2378,Male,21,Less than 25,7,Medium,African-American,0,0,0,0,1,1
2379,Male,50,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2380,Female,36,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2381,Male,39,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
2383,Female,54,Greater than 45,6,Medium,African-American,7,0,0,0,0,1
2384,Male,29,25 - 45,2,Low,African-American,0,0,0,0,0,0
2385,Male,26,25 - 45,6,Medium,Caucasian,0,0,0,0,0,1
2386,Male,41,25 - 45,4,Low,African-American,3,0,0,0,1,0
2387,Male,23,Less than 25,6,Medium,African-American,1,0,0,0,1,1
2388,Male,34,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2389,Male,31,25 - 45,7,Medium,Caucasian,11,0,0,0,1,1
2390,Male,20,Less than 25,3,Low,African-American,0,0,0,0,0,0
2391,Male,49,Greater than 45,6,Medium,African-American,10,0,0,0,1,1
2392,Male,26,25 - 45,8,High,African-American,4,0,0,0,1,1
2393,Male,28,25 - 45,4,Low,African-American,1,0,0,0,1,0
2394,Male,26,25 - 45,2,Low,African-American,0,0,0,0,0,0
2395,Male,55,Greater than 45,4,Low,African-American,1,0,0,0,0,0
2396,Male,22,Less than 25,9,High,African-American,0,0,0,0,0,1
2397,Female,26,25 - 45,4,Low,African-American,0,0,0,0,0,0
2398,Male,56,Greater than 45,1,Low,Other,0,0,0,0,0,0
2400,Male,46,Greater than 45,3,Low,Other,2,0,0,0,0,0
2401,Male,58,Greater than 45,6,Medium,African-American,16,0,0,0,1,1
2402,Male,28,25 - 45,7,Medium,African-American,4,0,0,0,0,1
2403,Male,33,25 - 45,6,Medium,African-American,8,0,0,0,0,1
2404,Female,31,25 - 45,2,Low,African-American,0,0,0,0,0,0
2405,Male,26,25 - 45,5,Medium,African-American,1,0,0,0,0,1
2408,Male,34,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2409,Male,33,25 - 45,1,Low,Other,0,0,0,0,0,0
2410,Female,32,25 - 45,2,Low,African-American,0,0,0,0,0,0
2411,Male,37,25 - 45,6,Medium,African-American,9,0,0,0,1,1
2412,Male,50,Greater than 45,5,Medium,African-American,1,0,0,0,0,1
2413,Male,35,25 - 45,2,Low,Caucasian,1,0,0,0,0,0
2414,Female,47,Greater than 45,3,Low,Caucasian,0,0,0,0,1,0
2415,Female,52,Greater than 45,9,High,African-American,8,0,0,0,0,1
2416,Male,26,25 - 45,7,Medium,African-American,5,0,1,2,1,1
2418,Male,45,Greater than 45,1,Low,African-American,13,0,0,0,1,0
2419,Male,19,Less than 25,9,High,Other,0,0,0,0,1,1
2420,Male,41,25 - 45,2,Low,African-American,8,0,0,0,1,0
2421,Male,24,Less than 25,2,Low,African-American,0,0,0,0,0,0
2422,Male,21,Less than 25,9,High,African-American,1,0,1,0,0,1
2423,Male,54,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2424,Male,49,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2425,Male,42,25 - 45,2,Low,Caucasian,1,0,0,0,0,0
2426,Male,21,Less than 25,4,Low,African-American,1,0,0,0,1,0
2428,Male,46,Greater than 45,8,High,Caucasian,5,0,0,0,1,1
2429,Male,74,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2430,Female,38,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
2432,Female,39,25 - 45,1,Low,African-American,1,0,0,0,0,0
2433,Female,38,25 - 45,1,Low,African-American,0,0,0,0,0,0
2434,Male,19,Less than 25,7,Medium,African-American,1,1,0,1,1,1
2435,Male,28,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
2437,Male,25,25 - 45,6,Medium,African-American,1,0,0,0,1,1
2438,Male,53,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
2440,Male,23,Less than 25,9,High,African-American,2,0,1,0,0,1
2441,Male,55,Greater than 45,9,High,Caucasian,33,0,0,0,1,1
2442,Female,64,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
2443,Male,23,Less than 25,7,Medium,African-American,1,0,0,0,1,1
2445,Male,23,Less than 25,8,High,African-American,4,0,0,2,1,1
2446,Female,41,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
2447,Male,53,Greater than 45,1,Low,Other,0,0,0,0,0,0
2448,Male,34,25 - 45,1,Low,African-American,0,0,0,0,0,0
2449,Male,24,Less than 25,1,Low,Hispanic,0,0,0,0,1,0
2450,Male,26,25 - 45,1,Low,African-American,1,0,0,0,0,0
2451,Male,44,25 - 45,2,Low,Caucasian,4,0,0,0,0,0
2452,Female,27,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
2453,Male,28,25 - 45,9,High,Caucasian,14,0,0,0,0,1
2454,Male,55,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
2456,Male,36,25 - 45,5,Medium,African-American,15,0,0,0,0,1
2458,Male,23,Less than 25,4,Low,African-American,1,0,0,0,0,0
2459,Male,56,Greater than 45,1,Low,African-American,1,0,0,0,0,0
2460,Male,27,25 - 45,6,Medium,Caucasian,2,0,0,0,1,1
2461,Male,37,25 - 45,6,Medium,Caucasian,1,0,0,0,0,1
2462,Male,32,25 - 45,8,High,African-American,1,0,0,0,1,1
2463,Male,41,25 - 45,10,High,African-American,18,2,0,0,1,1
2464,Male,22,Less than 25,6,Medium,African-American,1,0,0,0,1,1
2465,Male,37,25 - 45,2,Low,Caucasian,1,0,0,0,1,0
2466,Male,45,Greater than 45,2,Low,African-American,3,0,0,0,0,0
2467,Female,31,25 - 45,8,High,African-American,14,0,0,0,0,1
2468,Male,42,25 - 45,5,Medium,African-American,7,0,0,0,1,1
2469,Male,26,25 - 45,9,High,African-American,20,0,2,2,1,1
2470,Male,33,25 - 45,9,High,Caucasian,0,0,0,0,1,1
2471,Male,22,Less than 25,2,Low,Caucasian,0,0,0,0,1,0
2473,Female,36,25 - 45,1,Low,African-American,1,0,0,0,0,0
2474,Male,54,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2475,Male,25,25 - 45,9,High,African-American,5,0,1,2,1,1
2476,Male,24,Less than 25,5,Medium,Caucasian,3,0,0,0,1,1
2477,Male,23,Less than 25,7,Medium,Hispanic,0,0,0,0,0,1
2478,Male,61,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2479,Female,42,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2480,Male,28,25 - 45,2,Low,Caucasian,1,0,0,0,1,0
2481,Male,27,25 - 45,5,Medium,African-American,1,0,0,0,0,1
2482,Male,24,Less than 25,3,Low,Caucasian,2,0,0,0,0,0
2484,Male,32,25 - 45,10,High,African-American,16,0,0,0,1,1
2485,Male,38,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2486,Male,21,Less than 25,3,Low,Caucasian,1,0,1,1,0,0
2487,Male,27,25 - 45,7,Medium,African-American,1,0,0,0,1,1
2488,Male,39,25 - 45,4,Low,Caucasian,0,0,0,0,0,0
2489,Male,29,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
2490,Male,29,25 - 45,3,Low,Caucasian,1,0,0,0,0,0
2492,Male,36,25 - 45,4,Low,Caucasian,1,0,0,0,1,0
2493,Male,46,Greater than 45,7,Medium,African-American,0,0,0,0,1,1
2494,Male,44,25 - 45,6,Medium,African-American,7,1,0,0,0,1
2495,Male,27,25 - 45,2,Low,African-American,0,0,0,0,0,0
2496,Male,27,25 - 45,7,Medium,African-American,8,0,0,0,1,1
2497,Male,61,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
2498,Male,47,Greater than 45,1,Low,African-American,0,0,0,0,1,0
2499,Male,27,25 - 45,1,Low,African-American,1,0,0,0,0,0
2500,Male,28,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
2501,Female,31,25 - 45,5,Medium,Caucasian,1,0,0,0,1,1
2502,Male,26,25 - 45,4,Low,Caucasian,9,0,0,0,1,0
2503,Male,53,Greater than 45,2,Low,African-American,2,0,0,0,1,0
2504,Male,26,25 - 45,5,Medium,African-American,1,0,0,0,1,1
2505,Male,25,25 - 45,4,Low,African-American,2,0,0,0,0,0
2506,Male,23,Less than 25,10,High,Other,5,0,0,0,1,1
2507,Female,21,Less than 25,8,High,African-American,4,0,3,1,1,1
2508,Male,23,Less than 25,4,Low,African-American,1,0,0,0,0,0
2509,Male,30,25 - 45,1,Low,Other,3,0,1,1,0,0
2510,Female,45,Greater than 45,3,Low,African-American,2,0,0,0,0,0
2511,Male,27,25 - 45,5,Medium,African-American,2,0,0,0,1,1
2514,Female,26,25 - 45,2,Low,African-American,0,0,0,0,0,0
