,race,gender,is_recid,score
1186,African-American,Male,0,0
1187,Caucasian,Female,0,0
1188,Caucasian,Male,1,0
1189,Hispanic,Male,0,0
1192,Caucasian,Female,0,1
1193,African-American,Male,1,1
1195,Asian,Male,0,0
1196,Caucasian,Male,0,0
1198,Caucasian,Female,0,0
1199,Hispanic,Male,1,0
1200,Caucasian,Male,1,1
1201,African-American,Female,0,0
1203,African-American,Male,0,0
1204,Caucasian,Male,1,0
1205,African-American,Male,1,1
1206,African-American,Male,1,1
1207,African-American,Male,1,1
1208,Caucasian,Male,0,0
1209,African-American,Male,0,0
1211,African-American,Female,0,0
1212,Caucasian,Male,1,1
1213,African-American,Male,1,1
1214,African-American,Male,1,0
1215,African-American,Male,1,1
1216,African-American,Male,0,0
1217,Caucasian,Male,0,0
1218,Hispanic,Male,0,0
1219,African-American,Male,0,1
1220,Caucasian,Male,0,0
1221,African-American,Male,0,0
1222,African-American,Female,1,1
1223,African-American,Male,0,0
1225,Caucasian,Female,0,0
1228,African-American,Male,1,1
1229,African-American,Male,0,1
1230,Other,Male,1,1
1233,Hispanic,Male,0,0
1234,Other,Male,0,0
1235,African-American,Male,0,0
1236,African-American,Male,0,1
1237,African-American,Male,1,0
1238,Caucasian,Male,0,1
1239,African-American,Male,1,0
1240,African-American,Male,1,1
1241,Caucasian,Male,1,1
1242,Hispanic,Male,0,0
1244,Caucasian,Female,1,0
1245,African-American,Male,0,0
1246,Other,Male,0,0
1247,Caucasian,Male,0,0
1248,African-American,Male,1,0
1249,Caucasian,Male,1,1
1250,Caucasian,Male,0,0
1251,Caucasian,Male,1,0
1252,African-American,Male,0,0
1253,African-American,Male,0,1
1254,African-American,Male,1,1
1256,Caucasian,Male,0,0
1257,Caucasian,Female,1,0
1259,Caucasian,Male,1,1
1260,African-American,Male,1,1
1261,Other,Male,0,0
1262,Caucasian,Female,0,0
1263,African-American,Male,1,0
1264,Hispanic,Male,0,1
1265,Hispanic,Male,1,1
1266,Caucasian,Female,0,0
1267,Caucasian,Male,0,0
1268,Caucasian,Female,0,1
1269,Caucasian,Male,1,0
1270,African-American,Male,0,0
1271,Caucasian,Male,0,0
1272,African-American,Male,1,0
1273,African-American,Male,0,0
1274,Caucasian,Male,0,0
1275,Hispanic,Male,0,1
1276,African-American,Male,0,0
1277,African-American,Male,0,1
1278,Other,Male,1,0
1279,Caucasian,Male,1,0
1280,Hispanic,Male,0,0
1281,Hispanic,Male,1,0
1282,Caucasian,Male,0,0
1283,Caucasian,Male,1,1
1284,African-American,Female,1,1
1285,Hispanic,Male,0,1
1286,African-American,Female,0,0
1287,Other,Male,0,0
1288,African-American,Male,0,1
1289,Caucasian,Male,0,0
1290,African-American,Male,0,0
1291,Asian,Male,0,0
1292,Caucasian,Male,1,1
1294,Asian,Male,0,0
1295,African-American,Male,0,0
1298,Caucasian,Male,0,0
1299,African-American,Male,1,0
1301,Caucasian,Male,1,1
1302,Caucasian,Male,1,1
1303,Caucasian,Male,1,0
1304,African-American,Male,0,0
1305,Caucasian,Male,0,1
1306,African-American,Male,1,1
1307,African-American,Male,1,0
1308,African-American,Male,0,0
1309,Caucasian,Male,0,0
1312,Hispanic,Male,0,1
1313,Other,Male,0,0
1314,Caucasian,Female,0,1
1315,African-American,Male,1,0
1316,African-American,Male,1,1
1317,African-American,Male,0,0
1319,Caucasian,Male,0,0
1320,African-American,Male,1,0
1322,African-American,Male,0,0
1323,Other,Male,0,0
1324,Hispanic,Male,0,0
1325,African-American,Female,0,0
1326,Other,Male,0,0
1327,Caucasian,Female,0,0
1329,African-American,Male,1,1
1331,Caucasian,Male,1,1
1332,Caucasian,Male,0,0
1333,African-American,Male,0,1
1334,Caucasian,Male,0,0
1335,African-American,Male,0,1
1336,African-American,Male,0,0
1337,African-American,Male,1,1
1338,African-American,Male,1,1
1339,Hispanic,Male,0,0
1341,African-American,Male,1,0
1342,African-American,Male,0,0
1343,Hispanic,Male,0,1
1344,African-American,Male,1,1
1345,Caucasian,Male,0,0
1346,Caucasian,Male,0,0
1347,African-American,Male,0,0
1348,African-American,Male,0,1
1349,African-American,Male,1,1
1351,Other,Male,0,0
1352,Caucasian,Female,0,1
1353,African-American,Male,1,1
1354,African-American,Male,0,1
1355,Caucasian,Male,1,1
1356,African-American,Male,0,0
1357,African-American,Male,1,1
1359,African-American,Male,1,1
1360,African-American,Male,0,0
1361,African-American,Female,0,0
1363,Caucasian,Female,0,0
1364,African-American,Male,0,0
1365,Caucasian,Male,0,0
1366,Caucasian,Male,1,1
1367,Caucasian,Female,0,0
1368,African-American,Female,0,0
1369,Caucasian,Male,0,0
1370,Caucasian,Male,1,0
1371,African-American,Male,1,0
1373,Hispanic,Male,0,0
1374,African-American,Male,1,1
1375,Hispanic,Male,0,1
1376,Caucasian,Male,0,1
1377,African-American,Male,0,1
1378,African-American,Male,0,0
1379,African-American,Male,1,1
1380,Caucasian,Male,0,0
1381,African-American,Male,0,1
1382,African-American,Female,0,0
1383,Caucasian,Male,1,1
1384,Caucasian,Male,0,0
1387,African-American,Male,1,0
1388,African-American,Male,0,0
1389,Caucasian,Male,1,0
1390,African-American,Male,0,1
1391,Other,Male,1,0
1392,Other,Male,1,0
1393,African-American,Male,0,1
1394,African-American,Male,1,1
1395,Caucasian,Female,0,0
1396,Caucasian,Male,1,0
1397,Caucasian,Female,1,0
1399,African-American,Male,0,0
1400,African-American,Female,1,1
1401,African-American,Male,1,0
1402,African-American,Male,1,1
1403,Caucasian,Male,1,0
1404,African-American,Female,0,0
1405,African-American,Male,1,1
1406,Other,Male,0,1
1408,Caucasian,Male,1,1
1409,African-American,Female,1,0
1410,Caucasian,Male,0,0
1411,Caucasian,Male,0,0
1412,African-American,Female,0,0
1413,Caucasian,Male,0,0
1414,African-American,Male,1,0
1415,African-American,Female,1,1
1416,Hispanic,Male,0,0
1417,Caucasian,Male,0,0
1418,African-American,Male,0,1
1419,African-American,Male,0,1
1420,Caucasian,Male,1,0
1421,African-American,Male,1,0
1422,African-American,Male,0,0
1423,Other,Male,1,0
1424,African-American,Male,1,1
1425,African-American,Female,1,1
1426,African-American,Male,0,0
1427,Caucasian,Male,1,1
1428,Caucasian,Male,1,0
1429,African-American,Male,1,0
1431,Caucasian,Female,1,0
1432,African-American,Female,0,0
1433,African-American,Male,1,1
1434,African-American,Male,0,0
1436,Caucasian,Male,0,0
1437,Caucasian,Female,0,0
1438,African-American,Female,0,1
1439,African-American,Male,0,1
1440,African-American,Male,1,1
1441,African-American,Male,1,1
1442,Hispanic,Male,1,0
1443,African-American,Male,1,1
1445,African-American,Male,1,1
1446,African-American,Male,0,0
1447,Caucasian,Male,0,0
1448,African-American,Female,0,0
1449,African-American,Male,1,0
1450,Caucasian,Male,1,0
1451,African-American,Male,0,0
1452,Other,Male,0,0
1453,Caucasian,Female,0,1
1454,Caucasian,Male,1,1
1455,African-American,Male,1,0
1456,African-American,Male,1,1
1457,Caucasian,Male,1,1
1458,Hispanic,Male,0,0
1459,Caucasian,Male,0,1
1460,African-American,Male,1,0
1461,African-American,Male,0,1
1462,Caucasian,Female,0,1
1463,African-American,Male,1,1
1465,Caucasian,Female,0,1
1466,African-American,Male,0,1
1467,African-American,Male,1,1
1468,African-American,Female,0,1
1469,African-American,Male,1,1
1470,Other,Male,0,0
1471,Caucasian,Male,0,0
1472,Caucasian,Female,1,1
1473,African-American,Male,0,0
1474,African-American,Female,0,0
1475,African-American,Male,1,0
1476,Native American,Male,0,0
1477,Caucasian,Female,0,1
1481,Caucasian,Male,1,0
1482,Other,Male,0,0
1483,Caucasian,Male,1,1
1484,Caucasian,Male,1,0
1485,African-American,Male,0,1
1487,Hispanic,Male,1,0
1489,African-American,Male,1,1
1490,Caucasian,Male,0,0
1491,African-American,Male,0,0
1492,Hispanic,Male,0,0
1493,African-American,Male,1,1
1494,Caucasian,Female,1,1
1495,African-American,Male,1,0
1496,Caucasian,Male,0,0
1497,Caucasian,Male,0,0
1498,Caucasian,Male,0,0
1499,Caucasian,Male,0,0
1500,Caucasian,Male,1,1
1501,Caucasian,Male,1,1
1502,Caucasian,Male,1,1
1504,Caucasian,Female,0,0
1505,Caucasian,Male,0,0
1506,Caucasian,Male,0,1
1507,Hispanic,Female,1,1
1508,African-American,Male,0,0
1509,Other,Male,1,0
1511,Caucasian,Male,0,0
1512,African-American,Male,1,1
1513,Caucasian,Male,1,1
1514,African-American,Female,1,0
1515,African-American,Male,1,1
1516,African-American,Male,0,1
1517,Hispanic,Male,1,0
1518,African-American,Male,0,1
1519,African-American,Male,1,1
1520,Asian,Male,0,0
1521,African-American,Male,1,1
1522,Caucasian,Male,0,0
1523,Hispanic,Male,1,0
1524,African-American,Male,1,1
1525,African-American,Male,1,1
1526,Hispanic,Male,0,0
1528,African-American,Female,0,1
1529,Caucasian,Male,0,0
1530,African-American,Female,1,1
1531,African-American,Male,0,1
1532,African-American,Male,1,1
1533,African-American,Male,0,0
1534,Caucasian,Male,0,0
1535,African-American,Male,1,0
1536,African-American,Male,1,0
1537,Caucasian,Male,1,0
1540,Caucasian,Female,1,0
1541,Caucasian,Male,0,0
1542,Caucasian,Male,0,0
1543,Hispanic,Male,0,0
1545,African-American,Female,0,0
1546,Caucasian,Male,0,0
1547,African-American,Male,0,1
1548,African-American,Male,0,0
1549,African-American,Male,1,1
1551,Hispanic,Male,1,0
1552,African-American,Male,1,1
1553,Other,Male,0,0
1554,African-American,Female,1,1
1555,African-American,Male,1,0
1556,Caucasian,Male,1,1
1557,Other,Male,0,1
1558,African-American,Male,0,0
1559,African-American,Male,1,1
1560,African-American,Male,1,0
1561,African-American,Male,0,0
1562,Caucasian,Male,1,1
1563,Caucasian,Female,0,0
1564,Caucasian,Female,0,0
1565,Hispanic,Male,1,1
1566,African-American,Male,0,1
1567,African-American,Male,0,0
1568,African-American,Male,1,1
1570,African-American,Female,0,0
1571,African-American,Female,0,0
1572,Hispanic,Male,1,1
1573,Caucasian,Female,0,0
1574,Hispanic,Female,0,0
1575,African-American,Female,0,1
1576,Caucasian,Male,0,0
1577,Hispanic,Male,0,0
1579,Caucasian,Male,0,0
1580,Caucasian,Male,1,0
1582,African-American,Male,0,0
1583,Caucasian,Male,1,1
1585,African-American,Male,1,1
1587,Caucasian,Male,0,0
1588,African-American,Male,1,0
1589,Caucasian,Female,0,0
1590,African-American,Male,0,0
1592,Asian,Male,0,0
1594,Other,Male,0,0
1595,African-American,Male,1,1
1596,Other,Male,0,1
1597,African-American,Male,0,1
1598,African-American,Male,1,1
1599,Caucasian,Male,1,0
1600,African-American,Male,1,1
1601,Caucasian,Male,0,0
1602,Caucasian,Female,1,1
1603,Other,Male,0,0
1604,Caucasian,Male,0,1
1605,Other,Male,0,0
1606,African-American,Male,0,1
1607,Caucasian,Male,1,0
1609,African-American,Male,0,1
1610,African-American,Male,0,1
1611,African-American,Male,0,1
1615,African-American,Male,1,1
1616,Other,Male,0,0
1617,African-American,Male,1,1
1618,Caucasian,Male,1,1
1619,African-American,Male,0,0
1620,African-American,Male,1,1
1621,African-American,Male,0,0
1622,African-American,Male,0,0
1623,Caucasian,Male,0,0
1624,African-American,Female,0,0
1625,Caucasian,Female,0,1
1626,African-American,Male,1,1
1627,Caucasian,Female,1,0
1628,Hispanic,Male,0,1
1629,African-American,Male,1,1
1630,Caucasian,Female,1,1
1631,African-American,Female,1,1
1632,Caucasian,Male,0,1
1634,Other,Male,0,0
1635,Caucasian,Male,0,0
1636,Caucasian,Male,1,1
1637,African-American,Male,0,0
1638,Hispanic,Male,0,0
1639,African-American,Female,1,1
1640,Caucasian,Male,1,0
1641,African-American,Male,0,1
1642,African-American,Male,1,1
1643,Hispanic,Male,0,0
1644,African-American,Male,1,1
1645,African-American,Male,1,1
1646,African-American,Male,1,1
1647,African-American,Male,0,1
1648,African-American,Male,0,0
1651,African-American,Male,1,1
1653,African-American,Female,0,1
1654,African-American,Male,0,0
1655,Other,Male,0,1
1656,Caucasian,Male,0,0
1657,Caucasian,Male,0,0
1659,African-American,Male,1,0
1660,African-American,Male,1,1
1661,African-American,Male,0,1
1662,Caucasian,Male,1,1
1663,Caucasian,Male,1,0
1664,African-American,Male,0,1
1665,African-American,Female,0,0
1666,Caucasian,Male,0,0
1668,Caucasian,Male,0,0
1669,Caucasian,Male,0,0
1671,African-American,Male,0,1
1672,Caucasian,Male,1,1
1673,African-American,Male,0,0
1674,African-American,Male,1,1
1675,African-American,Male,0,0
1677,Caucasian,Female,0,0
1678,African-American,Male,0,1
1680,Caucasian,Male,1,1
1681,Caucasian,Female,1,1
1682,Hispanic,Male,0,0
1683,Other,Male,1,0
1684,African-American,Male,0,1
1685,Caucasian,Male,0,1
1686,African-American,Male,1,1
1687,Caucasian,Male,0,0
1688,African-American,Male,1,1
1689,African-American,Female,1,1
1690,Caucasian,Female,1,1
1691,Caucasian,Male,0,1
1692,Caucasian,Female,1,1
1693,Caucasian,Male,1,1
1694,Other,Male,1,0
1695,African-American,Female,0,0
1696,Caucasian,Male,0,0
1699,Caucasian,Female,0,0
1700,African-American,Male,0,1
1701,Caucasian,Male,0,0
1702,Hispanic,Male,0,0
1703,Hispanic,Female,0,0
1704,African-American,Male,1,1
1705,Caucasian,Male,1,0
1706,African-American,Female,0,1
1707,African-American,Male,0,0
1708,Hispanic,Female,0,0
1710,African-American,Male,0,0
1711,African-American,Male,1,1
1713,African-American,Male,0,1
1714,Caucasian,Female,0,0
1715,African-American,Male,1,0
1716,African-American,Male,0,1
1717,African-American,Male,0,0
1718,African-American,Female,0,0
1720,Caucasian,Male,0,0
1721,Caucasian,Male,0,0
1722,African-American,Male,0,0
1723,Hispanic,Male,0,1
1724,African-American,Male,1,1
1725,African-American,Male,0,0
1726,African-American,Male,1,1
1727,Caucasian,Male,1,1
1728,African-American,Male,0,0
1729,African-American,Male,1,0
1731,African-American,Male,0,1
1732,Caucasian,Male,0,0
1733,African-American,Male,1,1
1734,Caucasian,Male,1,1
1735,Caucasian,Male,1,1
1736,Caucasian,Male,0,0
1737,African-American,Male,0,0
1738,Other,Male,0,0
1739,Hispanic,Male,0,1
1740,Caucasian,Male,0,0
1741,Caucasian,Male,1,0
1743,Caucasian,Male,0,0
1744,African-American,Female,0,0
1745,African-American,Male,0,0
1747,African-American,Male,0,1
1748,African-American,Male,0,0
1749,Caucasian,Male,0,0
1751,Caucasian,Male,0,0
1754,African-American,Male,1,1
1756,Caucasian,Male,0,1
1757,Caucasian,Female,0,0
1759,African-American,Male,1,1
1760,African-American,Male,1,1
1761,African-American,Male,0,0
1762,Caucasian,Male,1,0
1763,Caucasian,Male,0,1
1764,African-American,Male,0,0
1765,Caucasian,Female,0,0
1766,African-American,Male,0,1
1767,African-American,Male,0,0
1768,African-American,Male,0,0
1769,Caucasian,Male,0,0
1770,African-American,Female,0,1
1772,Caucasian,Male,0,0
1773,African-American,Male,1,0
1774,African-American,Female,0,0
1775,Caucasian,Female,1,0
1776,African-American,Male,0,0
1777,Hispanic,Male,1,0
1778,African-American,Male,0,0
1780,Caucasian,Female,1,0
1781,African-American,Male,0,0
1782,African-American,Male,0,1
1783,African-American,Male,1,0
1786,African-American,Male,0,1
1787,Caucasian,Male,1,0
1788,Caucasian,Male,0,0
1789,Hispanic,Male,0,1
1790,Caucasian,Male,1,1
1791,African-American,Female,1,0
1792,African-American,Male,1,0
1793,Hispanic,Male,0,0
1794,Other,Male,1,1
1795,Hispanic,Male,0,1
1796,African-American,Male,1,1
1797,Caucasian,Male,1,0
1798,Asian,Male,0,0
1800,Hispanic,Male,0,0
1801,African-American,Male,1,1
1803,African-American,Male,1,1
1805,African-American,Male,1,1
1806,Other,Male,0,0
1809,Caucasian,Male,0,1
1810,Caucasian,Male,1,0
1812,Caucasian,Male,0,0
1813,African-American,Male,0,1
1814,African-American,Male,0,1
1815,Hispanic,Female,0,0
1816,Caucasian,Male,0,1
1817,African-American,Male,1,1
1818,Caucasian,Female,0,1
1819,African-American,Male,0,0
1820,Caucasian,Male,0,1
1821,African-American,Male,0,1
1822,African-American,Male,1,1
1823,Caucasian,Male,0,0
1824,African-American,Female,0,0
1825,African-American,Male,1,1
1826,Caucasian,Male,1,0
1827,Other,Female,0,0
1828,Caucasian,Male,0,0
1829,African-American,Male,1,1
1830,African-American,Female,1,1
1831,Caucasian,Male,1,1
1832,Caucasian,Male,0,1
1833,African-American,Male,0,0
1835,Caucasian,Male,0,0
1836,African-American,Male,1,1
1837,African-American,Male,0,0
1838,African-American,Female,1,1
1839,Caucasian,Male,0,0
1841,Caucasian,Male,0,0
1842,African-American,Male,0,1
1843,African-American,Male,0,1
1844,Caucasian,Male,1,0
1845,African-American,Male,1,0
1846,African-American,Male,0,1
1847,Caucasian,Male,0,0
1848,African-American,Male,1,0
1850,Hispanic,Male,1,1
1852,African-American,Male,0,0
1854,Caucasian,Male,1,0
1855,Caucasian,Male,0,1
1856,African-American,Male,1,1
1857,Caucasian,Male,0,0
1858,Caucasian,Female,0,0
1859,Hispanic,Male,1,1
1860,Caucasian,Male,1,0
1861,African-American,Female,1,1
1862,Hispanic,Male,0,0
1863,African-American,Male,0,0
1866,Asian,Male,1,0
1867,African-American,Female,0,0
1868,Caucasian,Male,0,1
1869,African-American,Male,1,0
1870,Caucasian,Male,0,0
1871,Hispanic,Male,1,1
1872,Caucasian,Male,1,1
1873,Caucasian,Male,1,0
1874,Caucasian,Male,1,1
1875,Other,Male,0,1
1876,African-American,Male,0,1
1877,African-American,Male,1,1
1878,African-American,Female,1,0
1879,African-American,Male,0,1
1880,African-American,Male,0,1
1881,Caucasian,Male,1,1
1882,African-American,Male,0,0
1883,African-American,Male,1,1
1884,Other,Male,1,0
1885,African-American,Male,1,0
1886,African-American,Male,1,0
1887,Caucasian,Male,0,0
1889,Hispanic,Male,0,0
1890,African-American,Male,1,1
1891,African-American,Male,1,1
1892,Caucasian,Male,1,1
1893,African-American,Male,1,0
1894,African-American,Male,1,1
1896,Caucasian,Male,0,0
1897,Caucasian,Male,0,0
1899,African-American,Male,1,1
1900,African-American,Male,1,1
1901,African-American,Male,1,1
1902,African-American,Male,0,0
1904,Hispanic,Male,1,1
1905,African-American,Male,0,0
1906,African-American,Male,0,1
1908,Caucasian,Male,1,1
1909,Caucasian,Female,0,0
1911,African-American,Male,0,1
1912,African-American,Male,1,1
1913,Caucasian,Male,0,0
1915,African-American,Male,1,1
1916,African-American,Male,0,1
1917,Caucasian,Male,0,0
1919,African-American,Male,0,1
1920,African-American,Male,0,1
1921,Caucasian,Male,1,0
1922,Caucasian,Male,0,0
1924,African-American,Male,0,1
1925,Other,Male,0,0
1926,Hispanic,Male,0,0
1927,African-American,Male,1,0
1928,African-American,Male,1,1
1929,African-American,Male,0,0
1930,Caucasian,Male,0,0
1931,African-American,Male,1,1
1932,African-American,Male,0,0
1933,African-American,Male,0,0
1934,African-American,Male,1,1
1935,African-American,Male,1,0
1936,Caucasian,Male,0,0
1937,African-American,Male,0,0
1938,Caucasian,Male,1,1
1939,African-American,Male,0,0
1940,African-American,Female,0,1
1941,Caucasian,Male,0,0
1942,Caucasian,Male,0,0
1944,African-American,Male,0,0
1945,African-American,Male,0,0
1946,Caucasian,Male,0,0
1947,African-American,Male,0,0
1948,Caucasian,Male,0,1
1949,African-American,Male,0,1
1950,African-American,Male,1,1
1951,African-American,Male,0,0
1952,Caucasian,Male,0,0
1953,Caucasian,Male,1,0
1954,Hispanic,Male,0,1
1955,African-American,Male,1,0
1956,Caucasian,Male,1,0
1957,Native American,Male,0,0
1958,African-American,Male,0,0
1960,African-American,Male,1,1
1961,African-American,Male,0,1
1963,African-American,Male,0,1
1964,African-American,Male,1,1
1965,Caucasian,Female,0,0
1966,African-American,Male,0,0
1967,Caucasian,Male,1,0
1968,Caucasian,Male,0,0
1969,Caucasian,Male,0,0
1970,African-American,Male,1,0
1971,African-American,Female,0,0
1972,Hispanic,Male,1,1
1974,Other,Male,0,0
1975,African-American,Male,1,1
1976,Hispanic,Female,0,0
1977,African-American,Male,0,0
1978,African-American,Male,1,1
1979,African-American,Male,0,1
1982,Caucasian,Male,0,0
1983,African-American,Male,1,1
1984,Caucasian,Male,1,0
1985,Caucasian,Male,1,0
1986,African-American,Male,0,1
1987,African-American,Female,1,1
1988,African-American,Male,0,1
1989,African-American,Male,1,1
1990,African-American,Male,0,1
1991,African-American,Male,1,0
1992,African-American,Male,1,1
1994,Caucasian,Male,1,1
1995,African-American,Male,0,0
1996,Other,Male,0,1
1997,African-American,Female,0,0
1998,Caucasian,Male,0,0
1999,African-American,Female,0,0
2000,Hispanic,Male,0,1
2002,Caucasian,Male,1,0
2003,African-American,Male,0,0
2004,Caucasian,Male,1,0
2005,African-American,Female,0,0
2007,African-American,Male,0,0
2008,African-American,Male,0,0
2009,African-American,Male,0,0
2010,African-American,Male,0,0
2011,African-American,Male,0,0
2012,African-American,Male,1,1
2013,African-American,Male,0,1
2014,Caucasian,Male,0,0
2015,African-American,Female,0,0
2016,African-American,Male,1,1
2017,African-American,Male,0,1
2018,Caucasian,Male,0,0
2020,Caucasian,Male,0,0
2022,Caucasian,Female,0,0
2023,African-American,Male,0,0
2024,African-American,Female,0,0
2025,African-American,Male,0,1
2026,Hispanic,Male,1,1
2027,African-American,Male,1,1
2028,African-American,Female,0,0
2029,African-American,Male,0,1
2030,Caucasian,Female,0,1
2031,African-American,Male,1,1
2032,African-American,Male,0,0
2033,African-American,Male,0,0
2034,Other,Female,0,0
2035,Caucasian,Male,0,0
2036,Caucasian,Male,1,0
2038,African-American,Male,0,1
2039,Hispanic,Male,1,0
2040,Asian,Male,1,1
2042,African-American,Male,1,1
2043,African-American,Male,1,1
2044,African-American,Male,0,0
2045,Hispanic,Male,1,0
2046,Caucasian,Male,0,0
2047,African-American,Male,0,0
2049,Hispanic,Male,1,1
2050,Hispanic,Male,1,0
2051,African-American,Male,1,0
2053,Caucasian,Female,0,0
2054,Caucasian,Male,0,1
2055,African-American,Male,1,1
2056,Hispanic,Male,0,1
2059,African-American,Male,1,1
2060,Hispanic,Male,1,0
2061,Caucasian,Female,0,1
2062,Caucasian,Male,0,0
2063,Other,Male,0,1
2064,Other,Male,1,0
2065,Caucasian,Male,0,0
2066,Caucasian,Male,0,0
2067,African-American,Male,0,1
2068,Caucasian,Male,0,0
2069,African-American,Male,1,1
2070,Hispanic,Male,0,0
2071,Caucasian,Male,1,1
2072,Caucasian,Male,0,0
2073,African-American,Male,1,1
2074,Caucasian,Male,1,1
2075,Caucasian,Male,1,0
2076,African-American,Male,1,1
2077,Caucasian,Male,0,0
2078,African-American,Female,1,1
2079,Other,Male,1,1
2080,Caucasian,Male,1,0
2081,African-American,Male,0,1
2083,Caucasian,Male,1,1
2084,Caucasian,Male,1,1
2085,African-American,Male,0,1
2086,African-American,Male,1,0
2088,Other,Male,0,0
2090,African-American,Male,0,0
2091,African-American,Male,0,0
2092,Caucasian,Male,0,0
2093,Other,Female,0,0
2094,Other,Male,0,1
2095,African-American,Male,1,0
2096,Caucasian,Female,0,1
2098,Caucasian,Male,0,0
2099,African-American,Male,0,1
2100,Other,Male,0,0
2101,African-American,Female,0,0
2102,African-American,Male,0,1
2103,African-American,Male,1,1
2104,Hispanic,Female,1,0
2105,Caucasian,Male,0,0
2106,Caucasian,Male,0,0
2107,Other,Male,0,0
2109,Caucasian,Male,1,1
2110,African-American,Male,1,1
2111,African-American,Male,0,1
2112,Caucasian,Male,1,1
2113,Caucasian,Male,0,1
2114,African-American,Female,0,0
2115,African-American,Female,0,0
2117,African-American,Male,1,1
2118,Caucasian,Male,0,0
2120,African-American,Female,0,1
2121,African-American,Male,0,1
2123,Caucasian,Male,0,0
2124,Caucasian,Male,0,1
2125,Caucasian,Male,1,0
2126,Caucasian,Male,0,0
2127,African-American,Male,0,0
2128,Native American,Female,1,1
2129,African-American,Male,1,1
2130,Caucasian,Female,0,0
2132,Caucasian,Female,0,0
2133,African-American,Male,0,0
2134,Caucasian,Male,1,1
2135,African-American,Male,1,1
2136,African-American,Male,1,1
2137,African-American,Male,1,1
2138,African-American,Male,0,1
2139,African-American,Male,1,1
2140,African-American,Female,1,1
2141,Caucasian,Male,1,0
2142,Caucasian,Male,0,0
2143,Caucasian,Male,1,1
2144,African-American,Male,1,1
2145,Other,Male,1,0
2147,African-American,Male,1,0
2148,African-American,Male,0,1
2149,African-American,Male,0,0
2150,African-American,Male,1,0
2151,Hispanic,Male,0,0
2152,Caucasian,Female,0,0
2153,Other,Female,1,1
2154,Hispanic,Male,0,0
2155,Caucasian,Male,0,1
2156,African-American,Male,1,0
2158,African-American,Female,0,0
2159,Caucasian,Female,1,1
2160,African-American,Male,0,0
2162,Caucasian,Male,0,0
2163,Caucasian,Male,1,1
2164,Hispanic,Male,0,0
2165,Caucasian,Male,0,0
2166,Caucasian,Male,0,0
2167,Caucasian,Male,0,0
2168,Caucasian,Female,1,1
2169,Caucasian,Male,0,1
2170,Caucasian,Female,0,0
2171,Caucasian,Male,0,0
2172,African-American,Male,1,0
2173,African-American,Male,1,1
2174,Caucasian,Male,0,0
2176,African-American,Male,0,1
2178,Caucasian,Male,1,0
2179,African-American,Male,1,1
2180,African-American,Male,0,0
2181,Caucasian,Male,1,0
2182,Hispanic,Female,1,0
2183,African-American,Male,1,1
2184,African-American,Male,0,1
2185,Caucasian,Male,0,0
2186,African-American,Male,1,1
2187,African-American,Male,0,1
2188,African-American,Male,1,0
2190,African-American,Male,1,1
2191,Caucasian,Female,0,0
2192,African-American,Female,1,0
2194,African-American,Male,1,0
2195,African-American,Male,0,0
2196,African-American,Female,1,0
2197,African-American,Male,1,0
2199,African-American,Male,0,0
2200,African-American,Male,0,0
2201,African-American,Male,1,1
2202,African-American,Male,1,1
2204,African-American,Male,1,1
2205,Hispanic,Male,1,0
2206,African-American,Male,1,1
2207,Hispanic,Female,1,0
2208,African-American,Male,0,0
2209,Hispanic,Male,1,1
2210,Other,Female,0,0
2213,African-American,Female,0,0
2214,African-American,Male,1,0
2215,African-American,Male,1,1
2216,Caucasian,Male,0,1
2218,Caucasian,Male,1,1
2219,African-American,Male,1,0
2220,Caucasian,Male,0,0
2221,African-American,Female,1,1
2222,Caucasian,Male,0,0
2223,African-American,Male,1,1
2224,Caucasian,Male,1,1
2225,Other,Male,1,0
2226,African-American,Male,0,1
2228,African-American,Male,1,1
2229,African-American,Male,0,1
2230,African-American,Male,1,0
2231,African-American,Male,1,0
2232,African-American,Male,0,0
2234,Caucasian,Male,1,1
2235,Caucasian,Male,0,0
2236,Caucasian,Female,1,0
2237,African-American,Male,0,1
2238,African-American,Male,0,0
2239,Caucasian,Female,0,0
2240,Caucasian,Male,0,0
2241,Caucasian,Male,1,0
2242,African-American,Male,1,1
2243,Caucasian,Male,0,0
2244,African-American,Male,1,0
2245,African-American,Male,1,1
2246,African-American,Male,0,0
2247,Caucasian,Male,1,1
2248,Caucasian,Female,0,0
2249,Hispanic,Male,1,1
2250,African-American,Male,1,1
2251,Caucasian,Female,0,0
2252,African-American,Male,1,1
2253,African-American,Female,0,0
2254,African-American,Male,1,1
2255,Caucasian,Female,0,1
2256,Caucasian,Male,1,1
2257,Caucasian,Male,0,0
2259,Caucasian,Male,1,1
2261,Caucasian,Male,1,0
2262,Caucasian,Male,0,0
2264,African-American,Female,1,1
2267,African-American,Male,0,0
2268,African-American,Male,1,0
2269,African-American,Male,1,0
2270,African-American,Female,0,0
2271,African-American,Male,0,1
2272,African-American,Male,0,0
2273,Caucasian,Male,0,0
2274,African-American,Male,1,1
2275,Caucasian,Male,1,0
2276,Caucasian,Male,0,0
2277,Caucasian,Male,1,1
2278,Other,Male,0,0
2280,African-American,Male,1,0
2282,Caucasian,Male,0,1
2283,African-American,Male,1,1
2285,African-American,Male,0,0
2286,African-American,Female,1,0
